,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
1022,1083. Temple and Culture,Bus Tours,1,5,3 days,243.59,"Air-conditioned vehicle, English Speaking Guide, Drinking Water, Cool Towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1023,1084. Siem Reap Angkor Sunrise by private motorcycle,Full-day Tours,1,5,6+ hours,64.62,"Professional English Speaking Tour guide, Motor Bike and Helmets, Pick up and drop off, Gratuity is recommended, cool bottle of water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1024,1085. 1-Day Angkor Wat Sunrise Tour and Banteay Srei Temple,Adventure Tours,1,5,7–8 hours,73,"Vaccinated English speaking tour guide with license, Vaccinated experienced driver with license, 100% Private transport with air-conditioning (Car/Minivan), Free cool water and towels during the tour, Breakfast in the village ( Local food and dessert)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1025,1086. Special Tour,Multi-day Tours,1,5,2 days,166.67,"English Speaking Guide, Transportation, Drinking Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1026,"1087. Cooking Class NEC - Market Tour - Cook with Purpose, Fun, Educational & Offer",Cooking Classes,1,5,3 hours,56.42, Welcome healthy drink  Local Market Tours (*) accompany by the chef for the whole activities  Lunch (Your own cooked foods) with a local beer per person  Foods offering to Monks or Local people,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1027,1088. Myths & Legends Tour,Walking Tours,1,5,2–3 hours,46.16,"Donations to the temples and monks, Bottled water, Entry/Admission - Wat Preah Prom Rath, Entry/Admission - Preah Ang Chek Preah Ang Chom Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1028,"1089.  Minibus - 2 D, 1 N Siem Reap / Koh Ker / Loas Border Adventure",Adventure Tours,1,5,2 days,134.88,"Dinner, 14 seat airconditioned minibus with English speaking experienced driver, Ice box and iced water for the duration, Full use of Koh Ker Jungle Lodge, Koh Ker Village , Kulen District, Preah Vihear Province, Dinner in Koh Ker Jungle Lodge","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1029,"1090. 4-Day Angkor, Kulen, Tonle Sap, Banteay Srei & Beng Mealea Tour",Adventure Tours,1,5,3+ days,236.54,"Fee for motorized boat, Hotel pickups and Dropoffs, Cold Towels, Cold bottled water, Air-conditioned vehicle, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
1030,1091. Angkor Wat 2 day private Tours,Classic Car Tours,1,5,2 days,150,"English Speaking Tour Guide, Bottled water, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1031,1092. Private Angkor Wat Sunrise Bayon Ta Prohm,Full-day Tours,1,5,6+ hours,64.62,"Professional English speaking guide with license, AC lexus/mini van/mini bus with licensed driver, Unlimited Cold water and towels, Gratuity is recommended, Pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1032,1093. Lifestyle Tour with Homestay - 2 Days 1 Night,Overnight Tours,1,5,2 days,153.85,"Dinner, Lunch, Breakfast","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1033,1094. Angkor Wat Tempel Full Day Tour,Full-day Tours,1,5,6+ hours,39,"Pick up and Drop off, Drinking water, Private luxury car","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1034,"1095. 2- Days Private Tour Explore Sunrise Angkor Wat,Beng Mealea and Floating Village",Bus Tours,1,5,2 days,108.98,"Air-conditioned vehicle, English tour guide, Cold water & cold towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1035,1096. Private tour: Full Day of Kulen Mountain tour & Tonle Sap lake,Adventure Tours,1,5,6–8 hours,75,"Experienced English speaking tour guide with license, Private vehicle by air-conditioned vehicle, Free cool water and towels during this tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1036,1097. Kampot and Kep Town Tour,Full-day Tours,1,5,6+ hours,90.91,"English speaking guide, Entrance fee, Refreshment drink & cold towel, Air-conditioned vehicle, Boat Fee, Entry/Admission - Kep Crab Market","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
1037,1098. Siem Reap Lake-Side Village Tour,Bus Tours,1,5,2 hours,134.62,"Hotel pick-up and drop off, Professional English-speaking guide, Transport by your chosen vehicle, Motorboat ticket, Bottled water & cold towels, Life jackets, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1038,1099. Full-Day Bike Tour in Siem Reap with Zipline,Adventure Tours,1,5,6+ hours,97.9,"Bicycle, Helmet for zip line tour, Harness, Helment for bicycle, Lunch, Insurance, Entry/Admission - West Baray","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1039,1100. Angkor Wat & Bayon: the Smiling Temple Bike Tour,Bike Tours,1,5,5 hours,37,"English speaking tour guide, Quality mountain bike (Giant/Trek), Helmet, Lunch, Fresh coconut juice, Pure drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1040,1101. Half Day Sunset Bike Tour in Battambang,Adventure Tours,1,5,4 hours,33,"Snacks, Mountain bikes with helmets, All Fees and Taxes, English speaking tour guide, bottled water & fresh coconuts, soft drinks, Entry/Admission - Phnom Sampeau","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
1041,1102. Private Angkor Wat Sunset 4 Best hidden temples Tour,Full-day Tours,1,5,6+ hours,64.11,"Professional English speaking guide, Lexus/mini ban /bus with air-con and licensed driver, Cold bottle of water and towels, Gratuity is recommended, pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1042,1103. Angkor Wat Experience Full Day,Full-day Tours,1,5,6+ hours,137.08,"Private Guide, Bottled water, Lunch, Coffee and/or Tea, Driver, Hotel pickup, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1043,1104. Phnom Penh 3 Days,Bus Tours,1,5,3 days,233.34,"2 nights accommodation with dbl/twn/tpl sharing with daily breakfast, Meals mentioned in program, Private air-conditioned transfers, Private English speaking guide, Bottles of drinking water every day, Breakfast, Entry/Admission - National Museum","Asia, Cambodia, Kep Province, Kep, Things to Do in Kep, Kep Tours, Tours and Tickets"
1044,1105. Full-Day Private Angkor Wat Sunrise with Small Group,Bus Tours,1,5,8–9 hours,51.29,"2 nights accommodation with dbl/twn/tpl sharing with daily breakfast, Meals mentioned in program, Private air-conditioned transfers, Private English speaking guide, Bottles of drinking water every day, Breakfast, Entry/Admission - National Museum",
1045,1106. Amazing Angkor Temples full day tour,Full-day Tours,1,5,1 day,135.39,"Professional guide, Hotel pickup and drop-off, Private tour, Round-trip private transfer, All activities, Lunch, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1046,1107. Siem Reap Private Airport Transfer,25 minutes,,,25 minutes,6,"One way transfer by air-conditioned vehicle, Professional driver, Meet and greet at the airport, Toll fees","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1047,"1108. 2-Day Beng Mealea, Koh Ker and Preah Vihear Exploration",Bus Tours,1,5,2 days,252.57,"Breakfast, 1 night at hotel on double/twin bed sharing basis with breakfast & taxes (3* Local Hotel), All ground private air conditioned vehicle during tours, Small Group Tour, Cold bottled water during tours, Hotel pickup and drop-off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1048,"1109. Full-Day Private Adventure Preah Vihea, Koh Ker & Beng Mealea",Full-day Tours,1,5,6+ hours,140,"Full Gasoline Car with experience Driver, Cold Waters & Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1049,1110. 1 day-Temple Tours + Sunrise,Full-day Tours,1,5,8–9 hours,99,"Fuel surcharge, Parking Fees, Bottled water, Air-conditioned vehicle, English Speaking Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1050,1111.  2-Day Siem Reap Highlights Tour,Bus Tours,,,2 days,103.46,"Air-conditioned vehicle, Cool water and towels, Experienced English speaking guide, Pick up & drop off from / at your hotel, Round trip and airport transfer, Boat trip and entrance fee to the floating village, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Artisans Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1051,1112. Kompong Phluk- Floating Village,Full-day Tours,1,5,1 day,45,"Private transportation, Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1052,1113. FULL DAY Small Circuit Tour By [ REMOK/TUK TUK ],4–9 hours,1,5,4–9 hours,28,Bottled water,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1053,1114. Private Arrival Transfer: Phnom Penh International Airport (PNH) to Hotel,30–60 minutes,1,5,30–60 minutes,25,"Free waiting time: up to 90 minutes, counting from the actual landing time., Private transportation with an experienced and helpful driver., 24hrs/7days assist you, Free of charge if your hotel is outside of the assigned drop-off area.","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1054,1115. Cambodian Market Tour and Unique Cooking Experience in a Countryside Kitchen,Walking Tours,1,5,3–4 hours,51.29,"Hotel pick-up and drop-off, Private market tour + cooking class + meal with your host Ben, Beverages, All taxes, fees and handling charges, Gratuities, Lunch, Dinner, Alcoholic Beverages, Entry/Admission - Traveling Spoon","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1055,"1116. Beng Mealea & Banteay Srey, Rolous Group Private Tours",Bus Tours,1,5,7–9 hours,35,"Pick up and Drop off at your hotel but please provide us your hotel name and hotel address, Professional English Speaking License Tour Guide, All private transfer by luxury air-con vehicle, Services charge and current government VAT tax, Cold drinks water and cold towers during the tours","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1056,1117. Angkor Wat at Sunrise,Bus Tours,,,3–4 hours,46.16,"Private air-conditioned vehicle, 01 Bottle of water per guest, English speaking tour guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1057,1118. Grand Circuit Tour & Banteay Srei,Full-day Tours,1,5,6+ hours,109,"English Speaking Guide, Pick Up/ Drop off, A/C Transport, Cold Drinking Water, Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1058,1119. Siem Reap Countryside & Floating Village ( Meychrey),Bus Tours,1,5,4–5 hours,55.13,"English-speaking Tour Guide, Transportation ( AC car or minivan or minibus), Bottles of drinking cold Water, Cruise ride & entrance fee to floating village, Entry/Admission - Meychrey Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1059,1120. Private Excursion to Battambang,Bus Tours,1,5,7–9 hours,256.42,"Private Tour Guide, Private Transportation, Pure Drinking Water, hotel pick up & drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1060,1121. Full-Day Battambang with a local Tuk Tuk Tours,Tuk Tuk Tours,1,5,6–7 hours,87.18,"Private Tour Guide, Private Transportation, Pure Drinking Water, hotel pick up & drop off",
1061,1122. Adventure Package Cooking Class,Cooking Classes,1,5,3–4 hours,49,"Private Tour Guide, Private Transportation, Pure Drinking Water, hotel pick up & drop off",
1062,1123. 1day-vip Tour+sunrise,Full-day Tours,1,5,6+ hours,120,"Air-conditioned vehicle, Private transportation, Bottled water, All Fees and Taxes, English speaking tour guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1063,"1124. Kbal Spean, Banteay Srei, Beng Melea & Rolous temples Tour",Full-day Tours,1,5,8–9 hours,88,"English speaking tour Guide, Transportation ( AC car or minivan or minibus ), Bottles of cold mineral Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1064,1125. MotoGirl - Day Adventure Tour,Half-day Tours,1,5,4 hours,51.29,"Raincoat (if needed)​​, High quality helmet, Bottled water, Private transportation, Entry/Admission - Phnom Penh","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1065,1126. Private Angkor Wat 1 Day Tour,Full-day Tours,1,5,1 day,90,"English Speaking Tour Guide, Private transportation, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1066,1127. Grand Tour and Banteay Srei Group Tour,Full-day Tours,,,6+ hours,60,"Cold Towel, Local English Speaking Tour Guide, Air-conditioned vehicle, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1067,1128. Inside Battambang,Full-day Tours,1,5,6–7 hours,21.59,"Tastings, fresh water","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
1068,1129. Classic Phnom Penh (join-tour),Full-day Tours,1,5,6+ hours,42,"Shared Transportation, Water and Towel, Tour Guide","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1069,"1130. Explore Battambang half day afternoon bamboo train,bat cave&killing cave,village",Private and Luxury,1,5,5–6 hours,17,"Tuk Tuk /guide ,drinking water , entrance fee for killing cave/bat cave","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
1070,1131. Private Vehicle to Angkor Wat and Small circle with Two Extras,Full-day Tours,1,5,9–10 hours,35,"English-speaking driver, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1071,"1132. Angkor Wat Two Days Tour,Lunch,Sunrise,and Floating Village by Tuk Tuk",Overnight Tours,,,2 days,108.34,"Tuk Tuk with a Driver, English speaking tour guide, Lunch at local restaurant next to the temples, Cool bottles of water and towels, Hotel pick up and drop off, Lunch, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1072,1133. Private One Day Tour to Lady Temple & Kbal Spean,Bus Tours,1,5,5–8 hours,80,"Private Transportation with A/C, Private English Speaking Tour Guide, Pure Drinking Water, Pick-up & drop-off at hotel where you are staying.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1073,"1134. Private Tour to Preh Vihear Temple, World Heritage Site in 2008",Bus Tours,1,5,7–8 hours,300.42,"Private Tour Guide, Private Transportation, Pure Drinking Water, hotel pick up & drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1074,1135. Best of Preah Vihear Temples Day Trip from Siem Reap,Bus Tours,,,7–8 hours,110,"Hotel pick up and drop-off, Local live English Speaking Guide, Air conditioned vehicle during tour or Tuk Tuk, Cold bottled water on tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1075,1136. Explore Koh Ker and Beng Mealea Temple Private Experience,Bus Tours,,,6+ hours,91.03,"Air-conditioned vehicle, English tour guide, Cold water & cold towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1076,1137. 1-Day Angkor Wat tour by Private transport,Bus Tours,1,5,7–8 hours,25.65,"Vaccinated Experienced English Speaking Driver With License, Private vehicle by air-conditioned (Car/Minivan), Free cool water and cool towels during tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1077,1138. Private Sambor Prei Kuk Temple Tour,Bus Tours,1,5,6+ hours,143.59,"Hotel pickup and drop-off, Private tour, Transport by air-conditioned car, Local English speaking guide, Cold water, Addmission fee for Sambor Preikuk, Entry/Admission - Sambor Prei Kuk, Entry/Admission - Spean Praptos","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1078,1139. Phare: The Cambodian Circus Show,Art Classes,,,1–2 hours,25,"Refillable sports water bottle with cold water (Section A only), Entry/Admission - Phare, The Cambodian Circus, Pick-up and drop-off hotel in Siem Reap by Tuk Tuk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1079,1140. Siem Reap Private Sunset City Tour,Luxury Car Tours,1,5,6 hours,61.54,"Professional English speaking tour guide, A/C Lexus/mini van /mini bus with licensed driver, Cold water and Cold towels, Gratuity is recommended, pick up and transfer","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1080,1141. Full 2-Day Angkor Temples with The Luxury of Siem Reap Fashoin,Luxury Car Tours,1,5,2 days,220,"Dinner, Air-conditioned vehicle, English-Speaking Guide, Cool Water & Towels, Local Snacks, Monk’s water blessings, Street foods, Home Dinner, villages and markets tour, Boating trip & lake entrance fee, Entry/Admission - Wat Bo Temple, Entry/Admission - Siem Reap Night Market, Entry/Admission - Chong Kneas Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1081,1142. Unique Tour To Pink Temple Banteay Srei And Sunset Phnom Bakheng,Bus Tours,1,5,8–10 hours,125,"Hotel/air port pickup and drop-off, Private tour with safe driver and tour guide in air-conditioning SUV/Minivan, Cold waters, wipes, gasoline, toll roads & parking lots, Entry/Admission - Banteay Srei, Entry/Admission - Pre Rup, Entry/Admission - Eastern Mebon, Entry/Admission - Ta Som, Entry/Admission - Neak Pean, Entry/Admission - Preah Khan, Entry/Admission - Phnom Bakheng","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
1082,1143. Insight Siem Reap Jeep Tour 1 Day,Full-day Tours,1,5,6+ hours,87.18,"Private transportation, Cooking Class, All Fees and Taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1083,1144. Private Transport from Siem Reap to Phnom Penh,5–6 hours,2,5,5–6 hours,146.26,"Private transportation, A bottle of water, fuel, Car's insurances, English speaking driver, Some stops on the way like: Oldest Bridge, Restroom/lunch breat and Spider Market","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1084,1145.  Kulen mountain Waterfall Small Groups,Full-day Tours,1,5,8–9 hours,65,"Private transportation, A bottle of water, fuel, Car's insurances, English speaking driver, Some stops on the way like: Oldest Bridge, Restroom/lunch breat and Spider Market",
1085,1146. Preah Vihear Temple & Koh Ker Private Tours from Siem Reap,Full-day Tours,1,5,9–10 hours,59,"Private transportation, A bottle of water, fuel, Car's insurances, English speaking driver, Some stops on the way like: Oldest Bridge, Restroom/lunch breat and Spider Market",
1086,1147. Phnom Penh Highlights Day Tour from River Cruise Port,Bus Tours,1,5,6 hours,189,"Private transportation, A bottle of water, fuel, Car's insurances, English speaking driver, Some stops on the way like: Oldest Bridge, Restroom/lunch breat and Spider Market",
1087,1148. Discover Our Angkor & Tonle Sap,Car Tours,1,5,6+ hours,189.75,"Pick up & Drop off from your hotel, Boat & Entrance Fee to visit Tonle Sap Lake, English Speaking Guide, Tuk Tuk for 1 or 2 people & Mini Van for 3 above, Bottled water, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1088,1149. Half Day Trip Fisher-man Stilted-floating villages Kampong Kleang Tonle Sap Lake,Luxury Car Tours,1,5,4–5 minutes,55,"Private guide and friendly driver, Gasoline, Tooll, Parking, Cold bottles of water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1089,1150. Authentic Tonle Sap Lake Boat Trip & Lunch with Local Village Family,Lunch Cruises,1,5,5–6 hours,109.2,"Local English speaking guide, Tours and transfers as mentioned by private air-conditioned vehicles, Lunch in a floating house with a soft drink, Lunch, Bottled water, Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1090,1151. Half-Day Phnom Penh Spa Package Including Round-Trip Hotel Transfers,3 hours,1,5,3 hours,87.18,"Hotel pickup and drop-off by tuk-tuk, 2-hour spa treatment","Asia, Cambodia, Kep Province, Kep, Things to Do in Kep, Kep Tours, Tours and Tickets"
1091,1152. Private Transfer: Siem Reap Airport to Hotel,25 minutes,1,5,25 minutes,9,"Meet and greet service at the airport, with welcome signage, Private one way airport transfer, Experienced driver","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1092,"1153. Kbal Spean, Banteay Srei & Grand Circuit",Full-day Tours,1,5,7–8 hours,51.29,"Experienced local English tour guide., Travel in air conditioning Transportation, All sightseeing & tour activities as programmed., 2 bottled water + 2 wet tissue/pax.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1093,1154. 1-Day Angkor Wat Tour with Optional Sunrise,Private Sightseeing Tours,1,5,1 day,44.88,"Tour Guide, Cold Water, Suitable Transport for group size.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1094,1155. Ancient Hindu Temples Of Preah Vihear,Full-day Tours,1,5,6+ hours,217.95,"English Speaking tour guide, Transportation, cold water, Entrance Fees., Entry/Admission - Pol Pot's House","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1095,"1156. Half Day Countryside Cycling Tour, Siem Reap Private Tours",Bus Tours,1,5,3–4 hours,27.7,"Snacks, Drinking water, bike, English Speaking Tour Guide, Snack","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1096,1157. Beng Mealea and Kompong Kleang,Adventure Tours,1,5,6–8 hours,114,"Hotel pickup and drop-off, Bottled water, Cold Wet Towel, Driver/guide, Private tour, Free wifi","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1097,1158. Private Angkor Three Days Temples Tour - Most Temples In Siem Reap,Luxury Car Tours,1,5,3 days,240,"English speaking tourist guide, Hotel pick up and drop off, Private transportation, Cool hand towels, Water bottled","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1098,1159. Private Battambang Full-Day Guided Tour,Full-day Tours,1,5,9–10 hours,151.11,"Hotel pickup and drop-off, Transport by good quality air-conditioned vehicle (according to option), Full-day tour of the ""must-see"" sights at Battambang, Professional English-speaking guide, Cold towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1099,1160. Full-Day Angkor Temples Sunset Tours,Bus Tours,1,5,8–9 hours,76.93,"English Speaking Tour Guide, Private Comfortable AC car, Pick-up/drop-off, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1100,1161. Private Battambang Off Beaten Track,Full-day Tours,1,5,6+ hours,256.42,"Driver/guide, Private Tour, Bottle Water, Entry/Admission - Prasat Banan in Battambang","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1101,1162. Private Angkor Bakeng Sunset Hidden gem bike tour,Full-day Tours,1,5,6+ hours,76.93,"English speaking guide with license, Standard bike and helmet, Cold bottle of water and towels, Gratuity is recommended, pick up and drop off, tuk tuk for following up during the tour, Fruit Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1102,1163. Banteay Srei & Angkor Big Circuit Tour,Full-day Tours,1,5,6+ hours,108.98,"Hotel pick-up and drop off, Professional English-speaking guide (limited options only), Transport by your chosen vehicle, Bottled water & Cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1103,"1164. 1Day Angkor wat sunrise of small tour,Banteay Srei",Bus Tours,1,5,5–6 hours,55,"Offical Lisence English speaking guide, Hotel pickup (4:20am to 4:50am), Hotel Drop off (12:30pm), Cold towels & Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1104,1165. Phnom Penh killing field Private Tour,Full-day Tours,1,5,6+ hours,86.8,"English Speaking guide, mini van and driver, cold bottles of water, Bottled water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1105,1166. private taxi in Angkor wat temple and other place- provinces in Cambodia.,6–8 hours,1,5,6–8 hours,200,Air-conditioned vehicle,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
